,value
2025-09-22 13:30:00,100000.0
2025-09-22 13:35:00,100000.0
2025-09-22 13:40:00,100000.0
2025-09-22 13:45:00,100000.0
2025-09-22 13:50:00,100000.0
2025-09-22 13:55:00,100000.0
2025-09-22 14:00:00,100000.0
2025-09-22 14:05:00,100000.0
2025-09-22 14:10:00,100000.0
2025-09-22 14:15:00,100000.0
2025-09-22 14:20:00,100000.0
2025-09-22 14:25:00,100000.0
2025-09-22 14:30:00,100000.0
2025-09-22 14:35:00,100000.0
2025-09-22 14:40:00,100000.0
2025-09-22 14:45:00,100000.0
2025-09-22 14:50:00,100000.0
2025-09-22 14:55:00,100000.0
2025-09-22 15:00:00,100000.0
2025-09-22 15:05:00,100000.0
2025-09-22 15:10:00,100000.0
2025-09-22 15:15:00,100000.0
2025-09-22 15:20:00,100000.0
2025-09-22 15:25:00,100000.0
2025-09-22 15:30:00,100000.0
2025-09-22 15:35:00,100000.0
2025-09-22 15:40:00,100000.0
2025-09-22 15:45:00,100000.0
2025-09-22 15:50:00,100000.0
2025-09-22 15:55:00,100000.0
2025-09-22 16:00:00,100000.0
2025-09-22 16:05:00,100000.0
2025-09-22 16:10:00,100000.0
2025-09-22 16:15:00,100000.0
2025-09-22 16:20:00,100000.0
2025-09-22 16:25:00,100000.0
2025-09-22 16:30:00,100000.0
2025-09-22 16:35:00,100000.0
2025-09-22 16:40:00,100000.0
2025-09-22 16:45:00,100000.0
2025-09-22 16:50:00,100000.0
2025-09-22 16:55:00,100000.0
2025-09-22 17:00:00,100000.0
2025-09-22 17:05:00,100000.0
2025-09-22 17:10:00,100000.0
2025-09-22 17:15:00,100000.0
2025-09-22 17:20:00,100000.0
2025-09-22 17:25:00,100000.0
2025-09-22 17:30:00,100000.0
2025-09-22 17:35:00,100000.0
2025-09-22 17:40:00,100000.0
2025-09-22 17:45:00,100000.0
2025-09-22 17:50:00,100000.0
2025-09-22 17:55:00,99999.28497598266
2025-09-22 18:00:00,99999.84036538696
2025-09-22 18:05:00,100000.27157876587
2025-09-22 18:10:00,100000.60156533813
2025-09-22 18:15:00,100000.53155801391
2025-09-22 18:20:00,100000.35156533813
2025-09-22 18:25:00,100001.55157754516
2025-09-22 18:30:00,100000.89157388305
2025-09-22 18:35:00,100002.1815519104
2025-09-22 18:40:00,100001.85156533813
2025-09-22 18:45:00,100001.3307855835
2025-09-22 18:50:00,100001.3307855835
2025-09-22 18:55:00,100001.3307855835
2025-09-22 19:00:00,100001.3307855835
2025-09-22 19:05:00,100001.3307855835
2025-09-22 19:10:00,100001.3307855835
2025-09-22 19:15:00,100001.3307855835
2025-09-22 19:20:00,100001.3307855835
2025-09-22 19:25:00,100001.3307855835
2025-09-22 19:30:00,100001.3307855835
2025-09-22 19:35:00,100001.3307855835
2025-09-22 19:40:00,100001.3307855835
2025-09-22 19:45:00,100001.3307855835
2025-09-22 19:50:00,100001.3307855835
2025-09-22 19:55:00,100001.3307855835
2025-09-23 13:30:00,100001.3307855835
2025-09-23 13:35:00,100001.3307855835
2025-09-23 13:40:00,100001.3307855835
2025-09-23 13:45:00,100001.3307855835
2025-09-23 13:50:00,100000.5068567505
2025-09-23 13:55:00,100001.22694952393
2025-09-23 14:00:00,99999.46687872315
2025-09-23 14:05:00,99999.9269006958
2025-09-23 14:10:00,100001.42934210206
2025-09-23 14:15:00,100000.9356897583
2025-09-23 14:20:00,100001.60695440674
2025-09-23 14:25:00,100002.89613897706
2025-09-23 14:30:00,100001.34694464112
2025-09-23 14:35:00,100001.30165655518
2025-09-23 14:40:00,99999.38692266846
2025-09-23 14:45:00,99996.74690802002
2025-09-23 14:50:00,99998.82692510987
2025-09-23 14:55:00,99997.58687384034
2025-09-23 15:00:00,99998.56728155518
2025-09-23 15:05:00,99998.90688116456
2025-09-23 15:10:00,99999.80690557862
2025-09-23 15:15:00,100000.48695928956
2025-09-23 15:20:00,100001.34694464112
2025-09-23 15:25:00,100000.82692510987
2025-09-23 15:30:00,99999.4273279419
2025-09-23 15:35:00,99999.10689337159
2025-09-23 15:40:00,99998.30690557862
2025-09-23 15:45:00,99998.546895813
2025-09-23 15:50:00,100000.34169561768
2025-09-23 15:55:00,100000.28932745362
2025-09-23 16:00:00,100001.18691046143
2025-09-23 16:05:00,99999.82692510987
2025-09-23 16:10:00,99999.34651739502
2025-09-23 16:15:00,100000.04170782471
2025-09-23 16:20:00,99998.9269006958
2025-09-23 16:25:00,99999.33449346924
2025-09-23 16:30:00,99999.44692022706
2025-09-23 16:35:00,99999.10652716065
2025-09-23 16:40:00,99999.18691046143
2025-09-23 16:45:00,99999.22688848877
2025-09-23 16:50:00,99996.9269006958
2025-09-23 16:55:00,99996.79890997315
2025-09-23 17:00:00,99996.546895813
2025-09-23 17:05:00,99997.06691534424
2025-09-23 17:10:00,99996.16689093018
2025-09-23 17:15:00,99995.10689337159
2025-09-23 17:20:00,99995.84688360596
2025-09-23 17:25:00,99995.10689337159
2025-09-23 17:30:00,99995.52687628174
2025-09-23 17:35:00,99994.9868982544
2025-09-23 17:40:00,99994.25887091065
2025-09-23 17:45:00,99994.6617029419
2025-09-23 17:50:00,99992.4269006958
2025-09-23 17:55:00,99993.7373255005
2025-09-23 18:00:00,99992.52687628174
2025-09-23 18:05:00,99992.64687139893
2025-09-23 18:10:00,99994.30690557862
2025-09-23 18:15:00,99993.90688116456
2025-09-23 18:20:00,99995.230489563
2025-09-23 18:25:00,99994.9868982544
2025-09-23 18:30:00,99995.26692755127
2025-09-23 18:35:00,99995.24690802002
2025-09-23 18:40:00,99993.82692510987
2025-09-23 18:45:00,99992.78873291016
2025-09-23 18:50:00,99992.78873291016
2025-09-23 18:55:00,99991.09264930726
2025-09-23 19:00:00,99989.44264015199
2025-09-23 19:05:00,99989.6246775055
2025-09-23 19:10:00,99989.71767982484
2025-09-23 19:15:00,99991.36761268617
2025-09-23 19:20:00,99991.0676248932
2025-09-23 19:25:00,99991.31718238832
2025-09-23 19:30:00,99991.1676462555
2025-09-23 19:35:00,99990.56767066957
2025-09-23 19:40:00,99991.5176828766
2025-09-23 19:45:00,99991.2711771393
2025-09-23 19:50:00,99990.21763404847
2025-09-23 19:55:00,99993.11764320375
2025-09-24 13:30:00,99988.23765357972
2025-09-24 13:35:00,99986.84999320985
2025-09-24 13:40:00,99986.84999320985
2025-09-24 13:45:00,99984.61886253358
2025-09-24 13:50:00,99986.49886741639
2025-09-24 13:55:00,99987.67886009217
2025-09-24 14:00:00,99984.75887718202
2025-09-24 14:05:00,99983.82867326356
2025-09-24 14:10:00,99983.82867326356
2025-09-24 14:15:00,99983.96619265748
2025-09-24 14:20:00,99983.58119815064
2025-09-24 14:25:00,99983.71819155884
2025-09-24 14:30:00,99983.08620303345
2025-09-24 14:35:00,99982.8441975403
2025-09-24 14:40:00,99982.8441975403
2025-09-24 14:45:00,99982.8441975403
2025-09-24 14:50:00,99982.8441975403
2025-09-24 14:55:00,99982.8441975403
2025-09-24 15:00:00,99982.8441975403
2025-09-24 15:05:00,99982.8441975403
2025-09-24 15:10:00,99982.8441975403
2025-09-24 15:15:00,99982.8441975403
2025-09-24 15:20:00,99982.8441975403
2025-09-24 15:25:00,99982.8441975403
2025-09-24 15:30:00,99982.8441975403
2025-09-24 15:35:00,99982.8441975403
2025-09-24 15:40:00,99982.8441975403
2025-09-24 15:45:00,99982.8441975403
2025-09-24 15:50:00,99982.8441975403
2025-09-24 15:55:00,99982.8441975403
2025-09-24 16:00:00,99982.8441975403
2025-09-24 16:05:00,99982.8441975403
2025-09-24 16:10:00,99982.8441975403
2025-09-24 16:15:00,99982.8441975403
2025-09-24 16:20:00,99982.8441975403
2025-09-24 16:25:00,99982.8441975403
2025-09-24 16:30:00,99982.8441975403
2025-09-24 16:35:00,99982.8441975403
2025-09-24 16:40:00,99982.8441975403
2025-09-24 16:45:00,99982.8441975403
2025-09-24 16:50:00,99982.8441975403
2025-09-24 16:55:00,99982.8441975403
2025-09-24 17:00:00,99982.8441975403
2025-09-24 17:05:00,99982.8441975403
2025-09-24 17:10:00,99982.8441975403
2025-09-24 17:15:00,99982.8441975403
2025-09-24 17:20:00,99982.8441975403
2025-09-24 17:25:00,99982.8441975403
2025-09-24 17:30:00,99982.8441975403
2025-09-24 17:35:00,99982.8441975403
2025-09-24 17:40:00,99982.8441975403
2025-09-24 17:45:00,99982.8441975403
2025-09-24 17:50:00,99982.8441975403
2025-09-24 17:55:00,99982.8441975403
2025-09-24 18:00:00,99982.8441975403
2025-09-24 18:05:00,99982.8441975403
2025-09-24 18:10:00,99982.8441975403
2025-09-24 18:15:00,99982.8441975403
2025-09-24 18:20:00,99982.8441975403
2025-09-24 18:25:00,99982.8441975403
2025-09-24 18:30:00,99982.8441975403
2025-09-24 18:35:00,99982.8441975403
2025-09-24 18:40:00,99982.8441975403
2025-09-24 18:45:00,99982.8441975403
2025-09-24 18:50:00,99982.8441975403
2025-09-24 18:55:00,99982.8441975403
2025-09-24 19:00:00,99982.8441975403
2025-09-24 19:05:00,99982.8441975403
2025-09-24 19:10:00,99982.8441975403
2025-09-24 19:15:00,99982.8441975403
2025-09-24 19:20:00,99982.8441975403
2025-09-24 19:25:00,99982.8441975403
2025-09-24 19:30:00,99982.8441975403
2025-09-24 19:35:00,99982.8441975403
2025-09-24 19:40:00,99982.8441975403
2025-09-24 19:45:00,99982.8441975403
2025-09-24 19:50:00,99982.8441975403
2025-09-24 19:55:00,99982.8441975403
2025-09-25 13:30:00,99982.8441975403
2025-09-25 13:35:00,99982.8441975403
2025-09-25 13:40:00,99982.8441975403
2025-09-25 13:45:00,99982.8441975403
2025-09-25 13:50:00,99982.8441975403
2025-09-25 13:55:00,99982.8441975403
2025-09-25 14:00:00,99982.8441975403
2025-09-25 14:05:00,99983.02795999146
2025-09-25 14:10:00,99983.27795999146
2025-09-25 14:15:00,99982.99796121217
2025-09-25 14:20:00,99982.57099829102
2025-09-25 14:25:00,99982.57099829102
2025-09-25 14:30:00,99982.57099829102
2025-09-25 14:35:00,99982.57099829102
2025-09-25 14:40:00,99982.57099829102
2025-09-25 14:45:00,99982.57099829102
2025-09-25 14:50:00,99982.57099829102
2025-09-25 14:55:00,99982.57099829102
2025-09-25 15:00:00,99981.84361706543
2025-09-25 15:05:00,99981.16380749512
2025-09-25 15:10:00,99981.88362561035
2025-09-25 15:15:00,99982.62361584473
2025-09-25 15:20:00,99982.50362072754
2025-09-25 15:25:00,99981.68382702637
2025-09-25 15:30:00,99981.17682681275
2025-09-25 15:35:00,99981.17682681275
2025-09-25 15:40:00,99981.17682681275
2025-09-25 15:45:00,99979.03528746033
2025-09-25 15:50:00,99978.180276474
2025-09-25 15:55:00,99977.50525816345
2025-09-25 16:00:00,99977.37026365662
2025-09-25 16:05:00,99976.65029295349
2025-09-25 16:10:00,99976.51525267029
2025-09-25 16:15:00,99976.17028196716
2025-09-25 16:20:00,99976.26178892517
2025-09-25 16:25:00,99976.44118650818
2025-09-25 16:30:00,99977.58028562927
2025-09-25 16:35:00,99977.73088987732
2025-09-25 16:40:00,99978.65726622009
2025-09-25 16:45:00,99978.16526182556
2025-09-25 16:50:00,99978.09028013611
2025-09-25 16:55:00,99978.54026182556
2025-09-25 17:00:00,99979.7180877533
2025-09-25 17:05:00,99980.11075743103
2025-09-25 17:10:00,99980.04026182556
2025-09-25 17:15:00,99979.53026731873
2025-09-25 17:20:00,99978.45026548767
2025-09-25 17:25:00,99977.69066549682
2025-09-25 17:30:00,99977.69066549682
2025-09-25 17:35:00,99977.69066549682
2025-09-25 17:40:00,99977.69066549682
2025-09-25 17:45:00,99977.69066549682
2025-09-25 17:50:00,99977.29602172851
2025-09-25 17:55:00,99976.56363037109
2025-09-25 18:00:00,99975.92361572266
2025-09-25 18:05:00,99975.3778671875
2025-09-25 18:10:00,99975.3778671875
2025-09-25 18:15:00,99975.68015475465
2025-09-25 18:20:00,99975.86017794801
2025-09-25 18:25:00,99976.28016085816
2025-09-25 18:30:00,99975.75107183839
2025-09-25 18:35:00,99975.75107183839
2025-09-25 18:40:00,99975.75107183839
2025-09-25 18:45:00,99975.75107183839
2025-09-25 18:50:00,99975.75107183839
2025-09-25 18:55:00,99975.75107183839
2025-09-25 19:00:00,99975.6586370697
2025-09-25 19:05:00,99976.3210211029
2025-09-25 19:10:00,99975.93405821228
2025-09-25 19:15:00,99974.66468763733
2025-09-25 19:20:00,99974.66468763733
2025-09-25 19:25:00,99974.66468763733
2025-09-25 19:30:00,99974.66468763733
2025-09-25 19:35:00,99974.66468763733
2025-09-25 19:40:00,99974.66468763733
2025-09-25 19:45:00,99973.40904548645
2025-09-25 19:50:00,99974.02907112121
2025-09-25 19:55:00,99975.82905891418
